feature,count,mean,std,min,25%,50%,75%,max
amount_log,283726.0,3.153760486359831,1.6570800045442613,0.0,1.8870696490323797,3.1354942159291497,4.363226005210164,10.153941165977784
hour_of_day,283726.0,14.045646151568768,5.834816649652669,0.0,10.0,15.0,19.0,23.0
day_of_week,283726.0,2.491636296990759,0.49993092458891564,2.0,2.0,2.0,3.0,3.0
is_weekend,283726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_night,283726.0,0.1765893855339306,0.3813215007554461,0.0,0.0,0.0,0.0,1.0
amount_outlier_flag,283726.0,0.11167464384652799,0.3149662956804334,0.0,0.0,0.0,0.0,1.0
transactions_last_1h,283726.0,3576.1674079922177,232.95809488214198,0.0,3599.0,3599.0,3599.0,3599.0
transactions_last_6h,283726.0,20776.83636325187,3341.102903716513,0.0,21599.0,21599.0,21599.0,21599.0
transactions_last_24h,283726.0,73243.92503330678,24180.03301024662,0.0,70931.25,86399.0,86399.0,86399.0
time_since_previous_transaction,283726.0,0.6090101012949113,1.0547175120106984,0.0,0.0,0.0,1.0,32.0
amount_change_ratio,283726.0,37.26834588571922,978.1707686943674,0.0,0.6524124042078162,0.9616478616806425,4.565884281831125,202215.0
Class,283726.0,0.001667101358352777,0.04079617625933865,0.0,0.0,0.0,0.0,1.0
